,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Chateau-Thierry,90,FR,1556421371,81,49.05,3.4,44.6,10.29
378,Rawson,37,AR,1556422206,73,-43.3,-65.11,56.37,7.56
379,Comodoro Rivadavia,90,AR,1556421660,93,-45.87,-67.48,55.4,6.93
380,Nalut,0,LY,1556422209,75,31.86,10.98,54.39,20.83
381,Riyadh,79,SA,1556420400,35,24.63,46.72,69.8,4.7
382,Batken,0,KG,1556421983,51,40.06,70.82,48.99,4.32
383,Monrovia,20,LR,1556420400,94,6.33,-10.8,77,6.58
384,Ambulu,94,ID,1556422211,69,-8.35,113.61,84.09,5.61
385,Nouadhibou,30,MR,1556420400,88,20.93,-17.03,62.6,12.75
386,Matara,100,PE,1556422212,93,-13.74,-72.9,37.83,2.71
387,Dandong,29,CN,1556422212,45,40.12,124.37,57.09,13.24
388,Saint-Joseph,0,FR,1556422207,87,43.56,6.97,53.6,2.24
389,Codrington,40,AU,1556421934,50,-28.95,153.24,80.6,6.93
390,Bonavista,54,CA,1556421410,88,48.65,-53.11,30.99,3
391,Iralaya,40,HN,1556422213,86,15,-83.23,77.79,3.33
392,Bonoua,20,CI,1556420400,83,5.27,-3.6,84.2,3.36
393,Sechura,24,PE,1556422214,86,-5.56,-80.82,70.77,13.15
394,Lerwick,6,GB,1556419800,81,60.15,-1.15,46.4,3.15
395,Grindavik,75,IS,1556421575,81,63.84,-22.43,48.99,8.05
396,Maputo,75,MZ,1556420400,88,-25.97,32.57,71.6,3.36
397,Piskavica,75,BA,1556420400,100,44.73,18.34,42.8,2.24
398,San Carlos de Bariloche,40,AR,1556420400,66,-41.13,-71.31,55.4,19.46
399,Salalah,0,OM,1556419800,44,17.01,54.1,78.8,3.36
401,Manokwari,100,ID,1556422216,68,-0.87,134.08,82.83,5.73
402,Voi,41,KE,1556422216,94,-3.4,38.57,70.41,2.46
403,Champerico,40,MX,1556419560,65,16.38,-93.6,78.8,10.29
404,Barreirinhas,100,BR,1556422143,93,-2.75,-42.83,75.27,1.81
406,Kudahuvadhoo,100,MV,1556422217,75,2.67,72.89,84.99,12.62
